level,shot,target,pigsBefore,pigsAfter
1,0-35-10,stone13,9,9
1,0-35-10-27,stone7,9,9
1,0-35-10-27-19,stone4,9,0
1,0-35,stone8,9,9
1,0-35-10,stone13,9,9
1,0-35-10-45,wood1,9,9
1,0-35-10-45-49,stone5,9,2
1,0-1,ice6,9,9
1,0-1-29,stone4,9,9
1,0-1-29-9,stone14,9,9
1,0-1-29-9-14,stone22,9,2
1,0-32,stone8,9,9
1,0-32-41,wood0,9,7
1,0-32-41-46,stone6,7,7
1,0-32-41-46-4,stone1,7,2
1,0-12,stone17,9,9
1,0-12-46,wood8,9,9
1,0-12-46-2,stone13,9,9
1,0-12-46-2-20,stone5,9,2
1,0-23,stone5,9,9
1,0-23-36,stone8,9,9
1,0-23-36-37,stone9,9,9
1,0-23-36-37-42,wood0,9,2
1,0-7,stone13,9,9
1,0-7-2,ice6,9,9
1,0-7-2-40,stone8,9,9
1,0-7-2-40-9,stone12,9,2
1,0-29,stone5,9,9
1,0-29-29,stone6,9,9
1,0-29-29-32,stone8,9,9
1,0-29-29-32-58,wood7,9,2
1,0-22,stone4,9,9
1,0-22-9,stone13,9,9
1,0-22-9-24,stone4,9,9
1,0-22-9-24-33,stone6,9,2
1,0-46,wood7,9,9
1,0-46-15,stone22,9,9
1,0-46-15-17,stone3,9,8
1,0-46-15-17-31,stone6,8,2
1,0-17,stone3,9,9
1,0-17-33,stone5,9,9
1,0-17-33-8,stone13,9,9
1,0-17-33-8-23,stone3,9,2
1,0-43,wood1,9,9
1,0-43-2,ice5,9,9
1,0-43-2-42,stone8,9,9
1,0-43-2-42-18,stone3,9,0
1,0-12,stone17,9,9
1,0-12-35,stone6,9,9
1,0-12-35-2,ice6,9,9
1,0-12-35-2-38,stone6,9,2
1,0-7,stone13,9,9
1,0-7-23,stone4,9,8
1,0-7-23-33,stone7,8,8
1,0-7-23-33-33,stone8,8,2
1,0-33,stone8,9,9
1,0-33-6,stone13,9,9
1,0-33-6-39,stone9,9,9
1,0-33-6-39-4,stone13,9,2
1,0-33,stone8,9,9
1,0-33-40,wood0,9,9
1,0-33-40-15,stone11,9,9
1,0-33-40-15-1,ice2,9,2
1,0-5,stone13,9,9
1,0-5-23,stone5,9,9
1,0-5-23-17,stone3,9,9
1,0-5-23-17-3,stone15,9,2
1,0-5,stone13,9,9
1,0-5-19,stone3,9,9
1,0-5-19-13,stone23,9,9
1,0-5-19-13-0,stone23,9,2
1,0-40,stone9,9,9
1,0-40-13,stone17,9,9
1,0-40-13-44,wood8,9,7
1,0-40-13-44-14,stone2,7,2
